ID,Screen,Origin,Epic,Title,Owner,Priority,Dependencies,Acceptance,Status
"FND-01","","","FND","Authority and readiness continuation","Governance owner","P0","","Revalidate accepted audit and exact authorized P0 scope; record owner decision before broad implementation | Required checks have revision-bound evidence; no required Not run | Owning authority and traceability updated where behavior changes","Not started"
"FND-02","","","FND","Project and portability alignment","Metadata architect","P0","FND-01","Preserve App/Site XOR and align contracts/registry with accepted portability matrix | Required checks have revision-bound evidence; no required Not run | Owning authority and traceability updated where behavior changes","Not started"
"FND-03","","","FND","Published contracts and ownership","Contract owner","P0","FND-02","Resolve exact API/event/SDK permissions and handoffs with consumer proof | Required checks have revision-bound evidence; no required Not run | Owning authority and traceability updated where behavior changes","Not started"
"FND-04","","","FND","Disposable environment and fixtures","Environment owner","P0","FND-01","Provision isolated dependencies and approved test harness without shared mutation | Required checks have revision-bound evidence; no required Not run | Owning authority and traceability updated where behavior changes","Not started"
"FND-05","","","FND","Tenant authorization and RLS baseline","Security/Data owners","P0","FND-03 | FND-04","Prove tenant A/B/no-context with NOBYPASSRLS and restricted principal | Required checks have revision-bound evidence; no required Not run | Owning authority and traceability updated where behavior changes","Not started"
"FND-06","","","FND","Artifact revision and package lifecycle","Developer backend owner","P0","FND-03 | FND-05","Prove concurrency, idempotency, immutable package and installation semantics | Required checks have revision-bound evidence; no required Not run | Owning authority and traceability updated where behavior changes","Not started"
"FND-07","","","FND","Sandbox and supply-chain qualification","Runtime/Security owners","P0","FND-03 | FND-04 | FND-05","Prove escape prevention, bounded capabilities, signatures and revocation | Required checks have revision-bound evidence; no required Not run | Owning authority and traceability updated where behavior changes","Not started"
"FND-08","","","FND","Strata shell and accessibility foundation","Frontend/Accessibility owners","P0","FND-02 | FND-03","Prove scoped tabs, token conformance, keyboard and screen-reader shell behavior | Required checks have revision-bound evidence; no required Not run | Owning authority and traceability updated where behavior changes","Not started"
"FND-09","","","FND","App vertical pilot","App engineering owner","P0","FND-06 | FND-07 | FND-08","Complete App create-author-test-preview-package-export/import lifecycle | Required checks have revision-bound evidence; no required Not run | Owning authority and traceability updated where behavior changes","Not started"
"FND-10","","","FND","Site vertical pilot","Tenant Sites/Web Studio owners","P0","FND-06 | FND-07 | FND-08","Complete Site lifecycle and anonymous/private boundary with portable rebind | Required checks have revision-bound evidence; no required Not run | Owning authority and traceability updated where behavior changes","Not started"
"FND-11","","","FND","Release and recovery rehearsal","SRE/QA owners","P0","FND-09 | FND-10","Prove same-bundle promotion, independent approval, failed activation and isolated restore | Required checks have revision-bound evidence; no required Not run | Owning authority and traceability updated where behavior changes","Not started"
"FND-12","","","FND","Gate and handoff qualification","Engineering/QA owners","P0","FND-11","Resolve test discovery/lint gaps, inspect all required evidence and obtain continuation decision | Required checks have revision-bound evidence; no required Not run | Owning authority and traceability updated where behavior changes","Not started"
"DEV-001","DP-001","73","EP-01","Sign-in handoff and callback recovery","Developer frontend + owning backend","P1","FND-12","Complete hosted sign-in callback and recover errors using published contracts and real services | Invalid callback or expired session cannot establish context | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-002","DP-002","77","EP-01","Developer getting started","Developer frontend + owning backend","P1","FND-12","Start guided App/Site/library creation using published contracts and real services | Independent library resource is not a third project kind | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-003","DP-003","1","EP-01","Projects workspace","Developer frontend + owning backend","P1","FND-12","Find and resume a scoped project using published contracts and real services | No access to another tenant project through search or recent tabs | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-004","DP-004","2","EP-01","Create project","Developer frontend + owning backend","P1","FND-12","Create exactly one App or Site project using published contracts and real services | Reject invalid dual app/site ownership without partial creation | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-005","DP-005","3","EP-01","Project overview","Developer frontend + owning backend","P1","FND-12","Inspect project resources and resume recent work using published contracts and real services | Distinguish missing bindings from a ready runtime | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-006","DP-006","78","EP-01","Project work items","Developer frontend + owning backend","P1","FND-12","Link work items to changes and acceptance using published contracts and real services | Ready status cannot stand in for pending test evidence | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-007","DP-007","17","EP-01","Applications catalog","Developer frontend + owning backend","P1","FND-12","Filter and open application projects using published contracts and real services | Empty search differs from no applications | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-008","DP-008","18","EP-01","Websites catalog","Developer frontend + owning backend","P1","FND-12","Filter and open website projects using published contracts and real services | Inaccessible site data is not exposed | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
